query,user,ip
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,svc,10.0.0.5
SELECT a.id,b.name FROM sessions a JOIN sessions b ON a.id=b.id,admin,10.0.0.10
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,guest,192.168.1.56
SELECT a.id,b.name FROM logs a JOIN users b ON a.id=b.id,alice,192.168.1.37
SELECT a.id,b.name FROM inventory a JOIN products b ON a.id=b.id,admin,10.0.0.15
SELECT a.id,b.name FROM users a JOIN products b ON a.id=b.id,analyst,192.168.1.38
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,guest,10.0.0.24
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,charlie,192.168.1.16
SELECT a.id,b.name FROM products a JOIN products b ON a.id=b.id,charlie,10.0.0.10
SELECT a.id,b.name FROM sessions a JOIN orders b ON a.id=b.id,svc,192.168.1.46
SELECT a.id,b.name FROM users a JOIN reviews b ON a.id=b.id,bob,10.0.0.23
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,alice,192.168.1.43
SELECT a.id,b.name FROM sessions a JOIN inventory b ON a.id=b.id,alice,192.168.1.19
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,guest,192.168.1.46
SELECT a.id,b.name FROM sessions a JOIN inventory b ON a.id=b.id,admin,192.168.1.45
SELECT a.id,b.name FROM users a JOIN inventory b ON a.id=b.id,alice,10.0.0.12
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,analyst,10.0.0.20
SELECT a.id,b.name FROM reviews a JOIN reviews b ON a.id=b.id,svc,192.168.1.10
SELECT a.id,b.name FROM sessions a JOIN reviews b ON a.id=b.id,bob,192.168.1.20
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,analyst,192.168.1.30
SELECT a.id,b.name FROM reviews a JOIN orders b ON a.id=b.id,guest,192.168.1.25
SELECT a.id,b.name FROM users a JOIN users b ON a.id=b.id,bob,192.168.1.33
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,charlie,10.0.0.23
SELECT a.id,b.name FROM sessions a JOIN users b ON a.id=b.id,admin,192.168.1.42
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,alice,192.168.1.39
SELECT a.id,b.name FROM reviews a JOIN orders b ON a.id=b.id,svc,192.168.1.40
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,charlie,192.168.1.22
SELECT a.id,b.name FROM logs a JOIN reviews b ON a.id=b.id,svc,192.168.1.16
SELECT a.id,b.name FROM products a JOIN users b ON a.id=b.id,bob,10.0.0.3
SELECT a.id,b.name FROM reviews a JOIN products b ON a.id=b.id,analyst,10.0.0.2
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,alice,10.0.0.17
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,guest,192.168.1.44
SELECT a.id,b.name FROM inventory a JOIN logs b ON a.id=b.id,analyst,192.168.1.39
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,analyst,10.0.0.3
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,alice,10.0.0.2
SELECT a.id,b.name FROM logs a JOIN inventory b ON a.id=b.id,bob,10.0.0.15
SELECT a.id,b.name FROM users a JOIN users b ON a.id=b.id,svc,192.168.1.22
SELECT a.id,b.name FROM users a JOIN orders b ON a.id=b.id,admin,10.0.0.25
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,analyst,192.168.1.37
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,bob,10.0.0.21
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,guest,192.168.1.21
SELECT a.id,b.name FROM inventory a JOIN products b ON a.id=b.id,charlie,10.0.0.6
SELECT a.id,b.name FROM sessions a JOIN inventory b ON a.id=b.id,admin,192.168.1.49
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,svc,192.168.1.42
SELECT a.id,b.name FROM logs a JOIN inventory b ON a.id=b.id,analyst,192.168.1.59
SELECT a.id,b.name FROM users a JOIN logs b ON a.id=b.id,alice,192.168.1.44
SELECT a.id,b.name FROM products a JOIN logs b ON a.id=b.id,guest,10.0.0.1
SELECT a.id,b.name FROM logs a JOIN users b ON a.id=b.id,admin,192.168.1.45
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,guest,192.168.1.34
SELECT a.id,b.name FROM inventory a JOIN products b ON a.id=b.id,admin,192.168.1.13
SELECT a.id,b.name FROM products a JOIN logs b ON a.id=b.id,svc,10.0.0.14
SELECT a.id,b.name FROM sessions a JOIN orders b ON a.id=b.id,admin,10.0.0.22
SELECT a.id,b.name FROM sessions a JOIN orders b ON a.id=b.id,svc,10.0.0.23
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,alice,192.168.1.24
SELECT a.id,b.name FROM reviews a JOIN sessions b ON a.id=b.id,guest,192.168.1.16
SELECT a.id,b.name FROM reviews a JOIN logs b ON a.id=b.id,charlie,10.0.0.1
SELECT a.id,b.name FROM inventory a JOIN inventory b ON a.id=b.id,bob,192.168.1.44
SELECT a.id,b.name FROM inventory a JOIN inventory b ON a.id=b.id,alice,192.168.1.55
SELECT a.id,b.name FROM inventory a JOIN sessions b ON a.id=b.id,bob,10.0.0.23
SELECT a.id,b.name FROM inventory a JOIN reviews b ON a.id=b.id,bob,192.168.1.37
SELECT a.id,b.name FROM sessions a JOIN users b ON a.id=b.id,alice,192.168.1.47
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,admin,192.168.1.31
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,admin,10.0.0.21
SELECT a.id,b.name FROM orders a JOIN reviews b ON a.id=b.id,analyst,192.168.1.55
SELECT a.id,b.name FROM logs a JOIN users b ON a.id=b.id,guest,10.0.0.9
SELECT a.id,b.name FROM sessions a JOIN users b ON a.id=b.id,admin,192.168.1.33
SELECT a.id,b.name FROM products a JOIN sessions b ON a.id=b.id,guest,192.168.1.37
SELECT a.id,b.name FROM orders a JOIN users b ON a.id=b.id,alice,192.168.1.16
SELECT a.id,b.name FROM products a JOIN sessions b ON a.id=b.id,admin,10.0.0.13
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,guest,10.0.0.9
SELECT a.id,b.name FROM users a JOIN products b ON a.id=b.id,guest,192.168.1.43
SELECT a.id,b.name FROM inventory a JOIN products b ON a.id=b.id,bob,10.0.0.18
SELECT a.id,b.name FROM orders a JOIN products b ON a.id=b.id,analyst,10.0.0.18
SELECT a.id,b.name FROM inventory a JOIN sessions b ON a.id=b.id,alice,192.168.1.35
SELECT a.id,b.name FROM inventory a JOIN products b ON a.id=b.id,admin,10.0.0.16
SELECT a.id,b.name FROM orders a JOIN users b ON a.id=b.id,alice,192.168.1.25
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,analyst,192.168.1.50
SELECT a.id,b.name FROM reviews a JOIN inventory b ON a.id=b.id,charlie,192.168.1.18
SELECT a.id,b.name FROM users a JOIN users b ON a.id=b.id,guest,192.168.1.47
SELECT a.id,b.name FROM users a JOIN sessions b ON a.id=b.id,bob,10.0.0.1
SELECT a.id,b.name FROM reviews a JOIN products b ON a.id=b.id,bob,10.0.0.3
SELECT a.id,b.name FROM products a JOIN products b ON a.id=b.id,alice,192.168.1.15
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,analyst,192.168.1.17
SELECT a.id,b.name FROM inventory a JOIN orders b ON a.id=b.id,bob,192.168.1.19
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,bob,192.168.1.18
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,analyst,192.168.1.46
SELECT a.id,b.name FROM users a JOIN reviews b ON a.id=b.id,admin,10.0.0.6
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,admin,192.168.1.40
SELECT a.id,b.name FROM orders a JOIN products b ON a.id=b.id,svc,192.168.1.41
SELECT a.id,b.name FROM inventory a JOIN sessions b ON a.id=b.id,analyst,192.168.1.52
SELECT a.id,b.name FROM products a JOIN users b ON a.id=b.id,analyst,10.0.0.12
SELECT a.id,b.name FROM sessions a JOIN logs b ON a.id=b.id,charlie,192.168.1.48
SELECT a.id,b.name FROM reviews a JOIN users b ON a.id=b.id,analyst,192.168.1.30
SELECT a.id,b.name FROM users a JOIN sessions b ON a.id=b.id,charlie,192.168.1.59
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,analyst,192.168.1.17
SELECT a.id,b.name FROM inventory a JOIN reviews b ON a.id=b.id,alice,192.168.1.28
SELECT a.id,b.name FROM inventory a JOIN logs b ON a.id=b.id,svc,192.168.1.57
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,charlie,10.0.0.23
SELECT a.id,b.name FROM inventory a JOIN users b ON a.id=b.id,guest,10.0.0.6
SELECT a.id,b.name FROM inventory a JOIN orders b ON a.id=b.id,bob,10.0.0.7
SELECT a.id,b.name FROM users a JOIN orders b ON a.id=b.id,alice,192.168.1.27
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,guest,10.0.0.9
SELECT a.id,b.name FROM products a JOIN sessions b ON a.id=b.id,admin,10.0.0.12
SELECT a.id,b.name FROM reviews a JOIN logs b ON a.id=b.id,svc,192.168.1.48
SELECT a.id,b.name FROM sessions a JOIN inventory b ON a.id=b.id,admin,192.168.1.54
SELECT a.id,b.name FROM orders a JOIN inventory b ON a.id=b.id,svc,192.168.1.14
SELECT a.id,b.name FROM users a JOIN sessions b ON a.id=b.id,guest,10.0.0.12
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,guest,10.0.0.5
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,bob,192.168.1.43
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,bob,192.168.1.55
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,alice,10.0.0.13
SELECT a.id,b.name FROM users a JOIN logs b ON a.id=b.id,charlie,10.0.0.15
SELECT a.id,b.name FROM reviews a JOIN sessions b ON a.id=b.id,admin,192.168.1.40
SELECT a.id,b.name FROM reviews a JOIN sessions b ON a.id=b.id,admin,192.168.1.40
SELECT a.id,b.name FROM reviews a JOIN reviews b ON a.id=b.id,analyst,192.168.1.22
SELECT a.id,b.name FROM logs a JOIN inventory b ON a.id=b.id,analyst,10.0.0.1
SELECT a.id,b.name FROM users a JOIN sessions b ON a.id=b.id,charlie,10.0.0.28
SELECT a.id,b.name FROM logs a JOIN orders b ON a.id=b.id,bob,192.168.1.29
SELECT a.id,b.name FROM reviews a JOIN users b ON a.id=b.id,charlie,10.0.0.6
SELECT a.id,b.name FROM inventory a JOIN reviews b ON a.id=b.id,svc,10.0.0.5
SELECT a.id,b.name FROM orders a JOIN products b ON a.id=b.id,guest,192.168.1.41
SELECT a.id,b.name FROM logs a JOIN logs b ON a.id=b.id,guest,192.168.1.52
SELECT a.id,b.name FROM users a JOIN products b ON a.id=b.id,alice,192.168.1.38
SELECT a.id,b.name FROM orders a JOIN reviews b ON a.id=b.id,charlie,10.0.0.29
SELECT a.id,b.name FROM orders a JOIN reviews b ON a.id=b.id,analyst,192.168.1.37
SELECT a.id,b.name FROM products a JOIN logs b ON a.id=b.id,guest,192.168.1.36
SELECT a.id,b.name FROM reviews a JOIN inventory b ON a.id=b.id,bob,192.168.1.39
SELECT a.id,b.name FROM users a JOIN inventory b ON a.id=b.id,admin,192.168.1.36
SELECT a.id,b.name FROM sessions a JOIN products b ON a.id=b.id,bob,10.0.0.21
SELECT a.id,b.name FROM logs a JOIN products b ON a.id=b.id,analyst,10.0.0.9
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,analyst,192.168.1.13
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,charlie,192.168.1.59
SELECT a.id,b.name FROM users a JOIN inventory b ON a.id=b.id,admin,10.0.0.15
SELECT a.id,b.name FROM inventory a JOIN users b ON a.id=b.id,alice,10.0.0.21
SELECT a.id,b.name FROM products a JOIN orders b ON a.id=b.id,svc,192.168.1.38
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,alice,192.168.1.30
SELECT a.id,b.name FROM inventory a JOIN users b ON a.id=b.id,svc,10.0.0.26
SELECT a.id,b.name FROM users a JOIN users b ON a.id=b.id,admin,192.168.1.47
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,charlie,192.168.1.45
SELECT a.id,b.name FROM inventory a JOIN users b ON a.id=b.id,svc,192.168.1.34
SELECT a.id,b.name FROM inventory a JOIN inventory b ON a.id=b.id,bob,192.168.1.50
SELECT a.id,b.name FROM orders a JOIN reviews b ON a.id=b.id,analyst,192.168.1.59
SELECT a.id,b.name FROM sessions a JOIN inventory b ON a.id=b.id,analyst,10.0.0.22
SELECT a.id,b.name FROM sessions a JOIN products b ON a.id=b.id,analyst,10.0.0.20
SELECT a.id,b.name FROM orders a JOIN orders b ON a.id=b.id,charlie,192.168.1.36
SELECT a.id,b.name FROM logs a JOIN users b ON a.id=b.id,charlie,192.168.1.11
SELECT a.id,b.name FROM products a JOIN sessions b ON a.id=b.id,charlie,10.0.0.9
SELECT a.id,b.name FROM reviews a JOIN users b ON a.id=b.id,charlie,10.0.0.3
SELECT a.id,b.name FROM reviews a JOIN logs b ON a.id=b.id,admin,192.168.1.34
SELECT a.id,b.name FROM inventory a JOIN users b ON a.id=b.id,analyst,10.0.0.5
SELECT a.id,b.name FROM orders a JOIN products b ON a.id=b.id,guest,192.168.1.15
SELECT a.id,b.name FROM orders a JOIN logs b ON a.id=b.id,svc,10.0.0.29
SELECT a.id,b.name FROM users a JOIN reviews b ON a.id=b.id,svc,192.168.1.41
SELECT a.id,b.name FROM orders a JOIN products b ON a.id=b.id,admin,10.0.0.8
SELECT a.id,b.name FROM reviews a JOIN inventory b ON a.id=b.id,guest,10.0.0.22
SELECT a.id,b.name FROM orders a JOIN sessions b ON a.id=b.id,svc,10.0.0.4
SELECT a.id,b.name FROM sessions a JOIN sessions b ON a.id=b.id,svc,192.168.1.28
SELECT a.id,b.name FROM users a JOIN inventory b ON a.id=b.id,guest,192.168.1.21
SELECT a.id,b.name FROM users a JOIN logs b ON a.id=b.id,svc,192.168.1.50
INSERT INTO users (id,name) VALUES (157,'test'),alice,10.0.0.19
INSERT INTO products (id,name) VALUES (343,'test'),bob,192.168.1.14
INSERT INTO sessions (id,name) VALUES (226,'test'),guest,192.168.1.15
INSERT INTO inventory (id,name) VALUES (650,'test'),bob,10.0.0.18
INSERT INTO reviews (id,name) VALUES (510,'test'),admin,192.168.1.22
INSERT INTO reviews (id,name) VALUES (835,'test'),analyst,192.168.1.44
INSERT INTO logs (id,name) VALUES (923,'test'),bob,10.0.0.6
INSERT INTO inventory (id,name) VALUES (409,'test'),analyst,10.0.0.4
INSERT INTO reviews (id,name) VALUES (618,'test'),svc,192.168.1.50
INSERT INTO reviews (id,name) VALUES (359,'test'),guest,192.168.1.51
INSERT INTO orders (id,name) VALUES (157,'test'),bob,10.0.0.24
INSERT INTO users (id,name) VALUES (901,'test'),alice,192.168.1.45
INSERT INTO orders (id,name) VALUES (688,'test'),bob,192.168.1.14
INSERT INTO users (id,name) VALUES (229,'test'),bob,192.168.1.46
INSERT INTO sessions (id,name) VALUES (100,'test'),charlie,10.0.0.9
INSERT INTO reviews (id,name) VALUES (696,'test'),alice,192.168.1.36
INSERT INTO products (id,name) VALUES (785,'test'),charlie,192.168.1.18
INSERT INTO users (id,name) VALUES (589,'test'),guest,192.168.1.54
INSERT INTO products (id,name) VALUES (215,'test'),alice,192.168.1.42
INSERT INTO orders (id,name) VALUES (569,'test'),charlie,10.0.0.11
INSERT INTO reviews (id,name) VALUES (348,'test'),charlie,192.168.1.29
INSERT INTO reviews (id,name) VALUES (255,'test'),charlie,192.168.1.11
INSERT INTO orders (id,name) VALUES (708,'test'),alice,192.168.1.24
INSERT INTO logs (id,name) VALUES (448,'test'),alice,192.168.1.19
INSERT INTO sessions (id,name) VALUES (405,'test'),bob,192.168.1.58
INSERT INTO logs (id,name) VALUES (316,'test'),svc,192.168.1.16
INSERT INTO orders (id,name) VALUES (978,'test'),alice,10.0.0.7
INSERT INTO reviews (id,name) VALUES (245,'test'),charlie,10.0.0.28
INSERT INTO products (id,name) VALUES (174,'test'),svc,192.168.1.58
INSERT INTO users (id,name) VALUES (827,'test'),svc,10.0.0.14
INSERT INTO logs (id,name) VALUES (294,'test'),svc,192.168.1.51
INSERT INTO products (id,name) VALUES (407,'test'),charlie,192.168.1.35
INSERT INTO sessions (id,name) VALUES (193,'test'),charlie,10.0.0.12
INSERT INTO logs (id,name) VALUES (953,'test'),guest,192.168.1.13
INSERT INTO orders (id,name) VALUES (667,'test'),charlie,10.0.0.12
INSERT INTO products (id,name) VALUES (641,'test'),analyst,10.0.0.2
INSERT INTO reviews (id,name) VALUES (661,'test'),svc,192.168.1.16
INSERT INTO inventory (id,name) VALUES (274,'test'),analyst,192.168.1.20
INSERT INTO reviews (id,name) VALUES (245,'test'),charlie,192.168.1.34
INSERT INTO orders (id,name) VALUES (474,'test'),svc,192.168.1.20
INSERT INTO products (id,name) VALUES (247,'test'),analyst,10.0.0.22
INSERT INTO orders (id,name) VALUES (195,'test'),charlie,10.0.0.2
INSERT INTO orders (id,name) VALUES (474,'test'),alice,192.168.1.57
INSERT INTO sessions (id,name) VALUES (128,'test'),admin,192.168.1.44
INSERT INTO orders (id,name) VALUES (634,'test'),admin,10.0.0.21
INSERT INTO logs (id,name) VALUES (37,'test'),svc,10.0.0.2
INSERT INTO reviews (id,name) VALUES (879,'test'),analyst,192.168.1.59
INSERT INTO products (id,name) VALUES (46,'test'),guest,192.168.1.36
INSERT INTO sessions (id,name) VALUES (438,'test'),charlie,192.168.1.25
INSERT INTO users (id,name) VALUES (710,'test'),alice,192.168.1.41
INSERT INTO products (id,name) VALUES (886,'test'),svc,10.0.0.27
INSERT INTO orders (id,name) VALUES (768,'test'),svc,192.168.1.45
INSERT INTO sessions (id,name) VALUES (75,'test'),alice,10.0.0.27
INSERT INTO products (id,name) VALUES (453,'test'),charlie,10.0.0.29
INSERT INTO inventory (id,name) VALUES (840,'test'),svc,192.168.1.10
INSERT INTO inventory (id,name) VALUES (999,'test'),bob,192.168.1.15
INSERT INTO logs (id,name) VALUES (460,'test'),alice,192.168.1.47
INSERT INTO reviews (id,name) VALUES (329,'test'),guest,192.168.1.42
INSERT INTO inventory (id,name) VALUES (51,'test'),admin,10.0.0.18
INSERT INTO products (id,name) VALUES (933,'test'),alice,10.0.0.21
INSERT INTO inventory (id,name) VALUES (683,'test'),alice,192.168.1.47
INSERT INTO users (id,name) VALUES (439,'test'),svc,192.168.1.55
INSERT INTO users (id,name) VALUES (272,'test'),guest,192.168.1.34
INSERT INTO sessions (id,name) VALUES (290,'test'),svc,192.168.1.58
INSERT INTO products (id,name) VALUES (885,'test'),admin,192.168.1.24
INSERT INTO products (id,name) VALUES (799,'test'),alice,10.0.0.23
INSERT INTO inventory (id,name) VALUES (781,'test'),alice,192.168.1.54
INSERT INTO sessions (id,name) VALUES (657,'test'),analyst,192.168.1.55
INSERT INTO users (id,name) VALUES (651,'test'),alice,10.0.0.7
INSERT INTO reviews (id,name) VALUES (840,'test'),svc,10.0.0.1
INSERT INTO logs (id,name) VALUES (691,'test'),alice,192.168.1.22
INSERT INTO orders (id,name) VALUES (236,'test'),admin,10.0.0.24
INSERT INTO orders (id,name) VALUES (7,'test'),svc,10.0.0.27
INSERT INTO products (id,name) VALUES (976,'test'),alice,192.168.1.18
INSERT INTO inventory (id,name) VALUES (887,'test'),alice,192.168.1.15
INSERT INTO products (id,name) VALUES (460,'test'),admin,192.168.1.24
INSERT INTO inventory (id,name) VALUES (303,'test'),charlie,192.168.1.32
INSERT INTO logs (id,name) VALUES (541,'test'),bob,192.168.1.34
INSERT INTO reviews (id,name) VALUES (8,'test'),alice,192.168.1.29
INSERT INTO logs (id,name) VALUES (393,'test'),guest,192.168.1.44
INSERT INTO reviews (id,name) VALUES (32,'test'),charlie,10.0.0.20
INSERT INTO logs (id,name) VALUES (503,'test'),charlie,192.168.1.36
INSERT INTO logs (id,name) VALUES (827,'test'),analyst,192.168.1.45
INSERT INTO products (id,name) VALUES (454,'test'),svc,192.168.1.52
INSERT INTO users (id,name) VALUES (450,'test'),guest,10.0.0.9
INSERT INTO products (id,name) VALUES (548,'test'),admin,192.168.1.15
INSERT INTO logs (id,name) VALUES (729,'test'),alice,10.0.0.18
INSERT INTO orders (id,name) VALUES (83,'test'),alice,10.0.0.20
INSERT INTO users (id,name) VALUES (386,'test'),bob,192.168.1.48
INSERT INTO products (id,name) VALUES (908,'test'),analyst,10.0.0.19
INSERT INTO reviews (id,name) VALUES (828,'test'),alice,10.0.0.5
INSERT INTO products (id,name) VALUES (77,'test'),charlie,192.168.1.19
INSERT INTO inventory (id,name) VALUES (349,'test'),bob,192.168.1.18
INSERT INTO logs (id,name) VALUES (84,'test'),charlie,10.0.0.5
INSERT INTO reviews (id,name) VALUES (100,'test'),alice,192.168.1.37
INSERT INTO inventory (id,name) VALUES (460,'test'),admin,10.0.0.20
INSERT INTO products (id,name) VALUES (788,'test'),analyst,192.168.1.40
INSERT INTO reviews (id,name) VALUES (290,'test'),bob,192.168.1.11
INSERT INTO orders (id,name) VALUES (281,'test'),alice,10.0.0.28
INSERT INTO logs (id,name) VALUES (907,'test'),svc,192.168.1.29
INSERT INTO products (id,name) VALUES (941,'test'),charlie,192.168.1.39
INSERT INTO users (id,name) VALUES (246,'test'),analyst,192.168.1.53
INSERT INTO users (id,name) VALUES (161,'test'),svc,10.0.0.5
INSERT INTO inventory (id,name) VALUES (377,'test'),guest,10.0.0.28
INSERT INTO inventory (id,name) VALUES (287,'test'),svc,192.168.1.26
INSERT INTO reviews (id,name) VALUES (400,'test'),analyst,192.168.1.40
INSERT INTO orders (id,name) VALUES (787,'test'),admin,192.168.1.16
INSERT INTO orders (id,name) VALUES (158,'test'),analyst,192.168.1.38
INSERT INTO products (id,name) VALUES (26,'test'),admin,10.0.0.17
INSERT INTO reviews (id,name) VALUES (772,'test'),alice,192.168.1.32
INSERT INTO sessions (id,name) VALUES (716,'test'),bob,192.168.1.58
INSERT INTO products (id,name) VALUES (410,'test'),admin,192.168.1.37
INSERT INTO logs (id,name) VALUES (743,'test'),alice,192.168.1.55
INSERT INTO sessions (id,name) VALUES (835,'test'),guest,192.168.1.56
INSERT INTO users (id,name) VALUES (873,'test'),alice,10.0.0.5
INSERT INTO inventory (id,name) VALUES (892,'test'),guest,192.168.1.20
INSERT INTO products (id,name) VALUES (956,'test'),bob,192.168.1.34
INSERT INTO inventory (id,name) VALUES (701,'test'),guest,192.168.1.52
INSERT INTO logs (id,name) VALUES (859,'test'),bob,192.168.1.38
INSERT INTO users (id,name) VALUES (363,'test'),admin,192.168.1.39
INSERT INTO users (id,name) VALUES (129,'test'),charlie,192.168.1.59
INSERT INTO reviews (id,name) VALUES (258,'test'),charlie,192.168.1.27
INSERT INTO users (id,name) VALUES (207,'test'),bob,192.168.1.12
INSERT INTO orders (id,name) VALUES (85,'test'),admin,192.168.1.17
INSERT INTO reviews (id,name) VALUES (435,'test'),alice,10.0.0.17
INSERT INTO inventory (id,name) VALUES (141,'test'),alice,10.0.0.2
INSERT INTO reviews (id,name) VALUES (760,'test'),charlie,192.168.1.58
INSERT INTO inventory (id,name) VALUES (605,'test'),charlie,192.168.1.23
INSERT INTO reviews (id,name) VALUES (428,'test'),svc,192.168.1.52
INSERT INTO orders (id,name) VALUES (88,'test'),svc,192.168.1.43
INSERT INTO users (id,name) VALUES (805,'test'),bob,192.168.1.21
INSERT INTO sessions (id,name) VALUES (199,'test'),bob,10.0.0.15
INSERT INTO sessions (id,name) VALUES (156,'test'),bob,192.168.1.20
INSERT INTO orders (id,name) VALUES (629,'test'),alice,192.168.1.34
INSERT INTO logs (id,name) VALUES (836,'test'),guest,192.168.1.31
INSERT INTO reviews (id,name) VALUES (826,'test'),admin,192.168.1.31
INSERT INTO orders (id,name) VALUES (725,'test'),alice,192.168.1.28
INSERT INTO sessions (id,name) VALUES (625,'test'),charlie,10.0.0.24
INSERT INTO sessions (id,name) VALUES (721,'test'),alice,10.0.0.18
INSERT INTO products (id,name) VALUES (830,'test'),charlie,192.168.1.45
INSERT INTO logs (id,name) VALUES (775,'test'),bob,192.168.1.34
INSERT INTO sessions (id,name) VALUES (219,'test'),admin,192.168.1.59
INSERT INTO products (id,name) VALUES (11,'test'),alice,192.168.1.38
INSERT INTO users (id,name) VALUES (40,'test'),charlie,192.168.1.46
INSERT INTO products (id,name) VALUES (808,'test'),analyst,192.168.1.45
INSERT INTO reviews (id,name) VALUES (749,'test'),analyst,192.168.1.49
INSERT INTO sessions (id,name) VALUES (50,'test'),admin,192.168.1.32
INSERT INTO sessions (id,name) VALUES (425,'test'),guest,192.168.1.31
INSERT INTO logs (id,name) VALUES (327,'test'),bob,10.0.0.12
INSERT INTO orders (id,name) VALUES (591,'test'),analyst,192.168.1.18
UPDATE sessions SET name='updated' WHERE id=24,charlie,192.168.1.21
UPDATE reviews SET name='updated' WHERE id=426,analyst,10.0.0.7
UPDATE products SET name='updated' WHERE id=420,bob,10.0.0.29
UPDATE orders SET name='updated' WHERE id=638,analyst,192.168.1.34
UPDATE logs SET name='updated' WHERE id=405,alice,10.0.0.26
UPDATE sessions SET name='updated' WHERE id=597,alice,192.168.1.41
UPDATE inventory SET name='updated' WHERE id=912,bob,192.168.1.53
UPDATE products SET name='updated' WHERE id=683,svc,10.0.0.13
UPDATE reviews SET name='updated' WHERE id=695,svc,192.168.1.50
UPDATE orders SET name='updated' WHERE id=24,guest,192.168.1.54
UPDATE sessions SET name='updated' WHERE id=399,alice,10.0.0.27
UPDATE sessions SET name='updated' WHERE id=804,admin,192.168.1.28
UPDATE sessions SET name='updated' WHERE id=149,alice,192.168.1.30
UPDATE users SET name='updated' WHERE id=545,alice,10.0.0.1
UPDATE orders SET name='updated' WHERE id=152,guest,10.0.0.16
UPDATE users SET name='updated' WHERE id=199,alice,192.168.1.57
UPDATE products SET name='updated' WHERE id=691,svc,192.168.1.19
UPDATE users SET name='updated' WHERE id=578,charlie,192.168.1.24
UPDATE users SET name='updated' WHERE id=695,charlie,192.168.1.57
UPDATE reviews SET name='updated' WHERE id=390,bob,192.168.1.10
UPDATE reviews SET name='updated' WHERE id=573,analyst,192.168.1.14
UPDATE products SET name='updated' WHERE id=534,svc,10.0.0.12
UPDATE logs SET name='updated' WHERE id=531,guest,192.168.1.10
UPDATE orders SET name='updated' WHERE id=366,svc,192.168.1.13
UPDATE orders SET name='updated' WHERE id=147,guest,192.168.1.52
UPDATE sessions SET name='updated' WHERE id=9,analyst,192.168.1.59
UPDATE orders SET name='updated' WHERE id=762,analyst,192.168.1.51
UPDATE logs SET name='updated' WHERE id=576,svc,192.168.1.39
UPDATE products SET name='updated' WHERE id=165,svc,10.0.0.3
UPDATE logs SET name='updated' WHERE id=174,analyst,192.168.1.41
UPDATE users SET name='updated' WHERE id=872,alice,192.168.1.56
UPDATE logs SET name='updated' WHERE id=226,analyst,10.0.0.21
UPDATE products SET name='updated' WHERE id=227,guest,10.0.0.7
UPDATE products SET name='updated' WHERE id=963,bob,10.0.0.13
UPDATE users SET name='updated' WHERE id=352,guest,192.168.1.18
UPDATE products SET name='updated' WHERE id=989,analyst,192.168.1.46
UPDATE inventory SET name='updated' WHERE id=772,svc,192.168.1.10
UPDATE reviews SET name='updated' WHERE id=239,bob,10.0.0.24
UPDATE reviews SET name='updated' WHERE id=611,charlie,192.168.1.26
